"","Flr_sample","value_rfu","short_id","SampleID","vol_Etoh","run","Notes","vol_tile","vol_scrub","DATE","WEIR-REP","notes","subs"
"73","SAMPLE-084",303.84,77,"CH190077",10,"run2",NA,10,20,2019-06-02,"W4-T",NA,"T"
"74","SAMPLE-085",1550.27,78,"CH190078",20,"run2",NA,10,20,2019-06-02,"W4-M",NA,"M"
"75","SAMPLE-086",111.08,79,"CH190079",10,"run2",NA,10,20,2019-06-02,"W5-T",NA,"T"
"76","SAMPLE-087",2031.51,80,"CH190080",20,"run2",NA,10,20,2019-06-02,"W5-M",NA,"M"
"77","SAMPLE-088",405.56,81,"CH190081",10,"run2",NA,10,20,2019-06-02,"W6-T",NA,"T"
"78","SAMPLE-089",4372.68,82,"CH190082",20,"run2",NA,10,20,2019-06-02,"W6-M",NA,"M"
"79","SAMPLE-090",518.89,83,"CH190083",10,"run2",NA,10,20,2019-06-02,"W9-T",NA,"T"
"80","SAMPLE-091",2724.51,84,"CH190084",20,"run2",NA,10,20,2019-06-02,"W9-M",NA,"M"
"81","SAMPLE-092",1336.91,85,"CH190085",10,"run2",NA,10,20,2019-06-10,"W1-T",NA,"T"
"82","SAMPLE-093",3282.71,86,"CH190086",20,"run2",NA,10,20,2019-06-10,"W1-M",NA,"M"
"83","SAMPLE-094",238.73,87,"CH190087",10,"run2",NA,10,20,2019-06-10,"W2-T",NA,"T"
"84","SAMPLE-095",1371.16,88,"CH190088",20,"run2",NA,10,20,2019-06-10,"W2-M",NA,"M"
"85","SAMPLE-096",758.01,89,"CH190089",10,"run2",NA,10,20,2019-06-10,"W3-T",NA,"T"
"86","SAMPLE-097",5199.57,90,"CH190090",20,"run2",NA,10,20,2019-06-10,"W3-M",NA,"M"
"87","SAMPLE-098",589.53,91,"CH190091",10,"run2",NA,10,20,2019-06-10,"W4-T",NA,"T"
"88","SAMPLE-099",2345.7,92,"CH190092",20,"run2",NA,10,20,2019-06-10,"W4-M",NA,"M"
"89","SAMPLE-100",213.53,93,"CH190093",10,"run2",NA,10,20,2019-06-10,"W5-T",NA,"T"
"90","SAMPLE-101",1909.34,94,"CH190094",20,"run2",NA,10,20,2019-06-10,"W5-M",NA,"M"
"91","SAMPLE-102",304.44,95,"CH190095",10,"run2",NA,10,20,2019-06-10,"W6-T",NA,"T"
"92","SAMPLE-103",3046.5,96,"CH190096",20,"run2",NA,10,20,2019-06-10,"W6-M",NA,"M"
"93","SAMPLE-104",367.34,97,"CH190097",10,"run2",NA,10,20,2019-06-10,"W9-T",NA,"T"
"94","SAMPLE-105",1713.22,98,"CH190098",20,"run2",NA,10,20,2019-06-10,"W9-M",NA,"M"
"95","SAMPLE-106",1201.82,99,"CH190099",10,"run2",NA,10,20,2019-06-17,"W1-T",NA,"T"
"96","SAMPLE-107",4013.93,100,"CH190100",20,"run2",NA,10,20,2019-06-17,"W1-M",NA,"M"
"97","SAMPLE-108",331.52,101,"CH190101",10,"run2",NA,10,20,2019-06-17,"W2-T",NA,"T"
"98","SAMPLE-109",1783.8,102,"CH190102",20,"run2",NA,10,20,2019-06-17,"W2-M",NA,"M"
"99","SAMPLE-110",609.81,103,"CH190103",10,"run2",NA,10,20,2019-06-17,"W3-T",NA,"T"
"100","SAMPLE-111",5918.77,104,"CH190104",20,"run2",NA,10,20,2019-06-17,"W3-M",NA,"M"
"101","AMPLE-112",837.99,105,"CH190105",10,"run2",NA,10,20,2019-06-17,"W4-T",NA,"T"
"102","SAMPLE-113",2160.32,106,"CH190106",20,"run2",NA,10,20,2019-06-17,"W4-M",NA,"M"
"103","SAMPLE-114",215.83,107,"CH190107",10,"run2",NA,10,20,2019-06-17,"W5-T",NA,"T"
"104","SAMPLE-115",2650.02,108,"CH190108",20,"run2",NA,10,20,2019-06-17,"W5-M",NA,"M"
"105","SAMPLE-116",598.98,109,"CH190109",10,"run2",NA,10,20,2019-06-17,"W6-T",NA,"T"
"106","SAMPLE-117",3365.4,110,"CH190110",20,"run2",NA,10,20,2019-06-17,"W6-M",NA,"M"
"107","SAMPLE-118",332.04,111,"CH190111",10,"run2",NA,10,20,2019-06-17,"W9-T",NA,"T"
"108","SAMPLE-119",3442.07,112,"CH190112",20,"run2",NA,10,20,2019-06-17,"W9-M",NA,"M"
"109","SAMPLE-120",1823.64,113,"CH190113",10,"run2",NA,10,20,2019-06-24,"W1-T",NA,"T"
"110","SAMPLE-121",5041.57,114,"CH190114",20,"run2",NA,10,20,2019-06-24,"W1-M",NA,"M"
"111","SAMPLE-122",377.5,115,"CH190115",10,"run2",NA,10,20,2019-06-24,"W2-T",NA,"T"
"112","SAMPLE-123",1835.64,116,"CH190116",20,"run2",NA,10,20,2019-06-24,"W2-M",NA,"M"
"113","SAMPLE-124",1005.42,117,"CH190117",10,"run2",NA,10,20,2019-06-24,"W3-T",NA,"T"
"114","SAMPLE-125",6974.29,118,"CH190118",20,"run2",NA,10,20,2019-06-24,"W3-M",NA,"M"
"115","AMPLE-126",1219.3,119,"CH190119",10,"run2",NA,10,20,2019-06-24,"W4-T",NA,"T"
"116","SAMPLE-127",2814.03,120,"CH190120",20,"run2",NA,10,20,2019-06-24,"W4-M",NA,"M"
"117","AMPLE-128",521.64,121,"CH190121",10,"run2",NA,10,20,2019-06-24,"W5-T",NA,"T"
"118","SAMPLE-129",3797.15,122,"CH190122",20,"run2",NA,10,20,2019-06-24,"W5-M",NA,"M"
"119","SAMPLE-130",512.5,123,"CH190123",10,"run2",NA,10,20,2019-06-24,"W6-T",NA,"T"
"120","SAMPLE-131",5926.96,124,"CH190124",20,"run2",NA,10,20,2019-06-24,"W6-M",NA,"M"
"121","SAMPLE-132",493.5,125,"CH190125",10,"run2",NA,10,20,2019-06-24,"W9-T",NA,"T"
"122","SAMPLE-133",4945.01,126,"CH190126",20,"run2",NA,10,20,2019-06-24,"W9-M",NA,"M"
"123","SAMPLE-134",1547.05,127,"CH190127",10,"run2",NA,10,20,2019-07-01,"W1-T",NA,"T"
"124","SAMPLE-135",6648.09,128,"CH190128",20,"run2",NA,10,20,2019-07-01,"W1-M",NA,"M"
"125","SAMPLE-136",309.85,129,"CH190129",10,"run2",NA,10,20,2019-07-01,"W2-T",NA,"T"
"126","SAMPLE-137",1741.82,130,"CH190130",20,"run2",NA,10,20,2019-07-01,"W2-M",NA,"M"
"127","SAMPLE-138",1523.9,131,"CH190131",10,"run2",NA,10,20,2019-07-01,"W3-T",NA,"T"
"128","SAMPLE-139",8441.93,132,"CH190132",20,"run2",NA,10,20,2019-07-01,"W3-M",NA,"M"
"129","SAMPLE-140",783.35,133,"CH190133",10,"run2",NA,10,20,2019-07-01,"W4-T",NA,"T"
"130","SAMPLE-141",2899.53,134,"CH190134",20,"run2",NA,10,20,2019-07-01,"W4-M",NA,"M"
"131","AMPLE-142",863.85,135,"CH190135",10,"run2",NA,10,20,2019-07-01,"W5-T",NA,"T"
"132","SAMPLE-143",3851.86,136,"CH190136",20,"run2",NA,10,20,2019-07-01,"W5-M",NA,"M"
"133","SAMPLE-169",1614.71,137,"CH190137",10,"run3",NA,10,20,2019-07-01,"W6-T",NA,"T"
"134","SAMPLE-170",7546.42,138,"CH190138",20,"run3",NA,10,20,2019-07-01,"W6-M",NA,"M"
"135","SAMPLE-171",1506.25,139,"CH190139",10,"run3",NA,10,20,2019-07-01,"W9-T",NA,"T"
"136","SAMPLE-172",4747.25,140,"CH190140",20,"run3",NA,10,20,2019-07-01,"W9-M",NA,"M"
"137","SAMPLE-173",1318.1,141,"CH190141",10,"run3",NA,10,20,2019-07-08,"W1-T",NA,"T"
"138","SAMPLE-174",5195.93,142,"CH190142",20,"run3",NA,10,20,2019-07-08,"W1-M",NA,"M"
"139","SAMPLE-175",305.23,143,"CH190143",10,"run3",NA,10,20,2019-07-08,"W2-T",NA,"T"
"140","SAMPLE-176",1814.39,144,"CH190144",20,"run3",NA,10,20,2019-07-08,"W2-M",NA,"M"
"141","SAMPLE-177",2029.1,145,"CH190145",10,"run3",NA,10,20,2019-07-08,"W3-T",NA,"T"
"142","SAMPLE-178",7658,146,"CH190146",20,"run3",NA,10,20,2019-07-08,"W3-M",NA,"M"
"143","SAMPLE-179",816.78,147,"CH190147",10,"run3",NA,10,20,2019-07-08,"W4-T",NA,"T"
"144","SAMPLE-180",3468.13,148,"CH190148",20,"run3",NA,10,20,2019-07-08,"W4-M",NA,"M"
"145","SAMPLE-181",565.41,149,"CH190149",10,"run3",NA,10,20,2019-07-08,"W5-T",NA,"T"
"146","SAMPLE-182",3733.17,150,"CH190150",20,"run3",NA,10,20,2019-07-08,"W5-M",NA,"M"
"147","SAMPLE-183",1905.91,151,"CH190151",10,"run3",NA,10,20,2019-07-08,"W6-T",NA,"T"
"148","SAMPLE-184",7918.58,152,"CH190152",20,"run3",NA,10,20,2019-07-08,"W6-M",NA,"M"
"149","SAMPLE-185",1680.64,153,"CH190153",10,"run3",NA,10,20,2019-07-08,"W9-T",NA,"T"
"150","SAMPLE-186",5207.53,154,"CH190154",20,"run3",NA,10,20,2019-07-08,"W9-M",NA,"M"
"151","SAMPLE-187",2482.23,155,"CH190155",10,"run3",NA,10,20,2019-07-15,"W1-T",NA,"T"
"152","SAMPLE-188",5747.41,156,"CH190156",20,"run3",NA,10,20,2019-07-15,"W1-M",NA,"M"
"153","SAMPLE-189",493.29,157,"CH190157",10,"run3",NA,10,20,2019-07-15,"W2-T",NA,"T"
"154","SAMPLE-190",2951.33,158,"CH190158",20,"run3",NA,10,20,2019-07-15,"W2-M",NA,"M"
"155","SAMPLE-191",2391.65,159,"CH190159",10,"run3",NA,10,20,2019-07-15,"W3-T",NA,"T"
"156","SAMPLE-192",6199.4,160,"CH190160",20,"run3",NA,10,20,2019-07-15,"W3-M",NA,"M"
"157","SAMPLE-193",896.63,161,"CH190161",10,"run3",NA,10,20,2019-07-15,"W4-T",NA,"T"
"158","SAMPLE-194",5042.89,162,"CH190162",20,"run3",NA,10,20,2019-07-15,"W4-M",NA,"M"
"159","SAMPLE-195",813.83,163,"CH190163",10,"run3",NA,10,20,2019-07-15,"W5-T",NA,"T"
"160","SAMPLE-196",3557.81,164,"CH190164",20,"run3",NA,10,20,2019-07-15,"W5-M",NA,"M"
"161","SAMPLE-197",1438.96,165,"CH190165",10,"run3",NA,10,20,2019-07-15,"W6-T",NA,"T"
"162","SAMPLE-198",6287.33,166,"CH190166",20,"run3",NA,10,20,2019-07-15,"W6-M",NA,"M"
"163","SAMPLE-199",3301.18,167,"CH190167",10,"run3",NA,10,20,2019-07-15,"W9-T",NA,"T"
"164","SAMPLE-200",8173.98,168,"CH190168",20,"run3",NA,10,20,2019-07-15,"W9-M",NA,"M"
"165","SAMPLE-201",2049.41,169,"CH190169",10,"run3",NA,10,20,2019-07-22,"W1-T",NA,"T"
"166","SAMPLE-202",4901.6,170,"CH190170",20,"run3",NA,10,20,2019-07-22,"W1-M",NA,"M"
"167","SAMPLE-203",506.77,171,"CH190171",10,"run3",NA,10,20,2019-07-22,"W2-T",NA,"T"
"168","SAMPLE-204",2199.58,172,"CH190172",20,"run3",NA,10,20,2019-07-22,"W2-M",NA,"M"
"169","SAMPLE-205",2246.05,173,"CH190173",10,"run3",NA,10,20,2019-07-22,"W3-T",NA,"T"
"170","SAMPLE-206",7415.29,174,"CH190174",20,"run3",NA,10,20,2019-07-22,"W3-M",NA,"M"
"171","SAMPLE-207",462.04,175,"CH190175",10,"run3",NA,10,20,2019-07-22,"W4-T",NA,"T"
"172","SAMPLE-208",4870.29,176,"CH190176",20,"run3",NA,10,20,2019-07-22,"W4-M",NA,"M"
"173","SAMPLE-209",263.94,177,"CH190177",10,"run3",NA,10,20,2019-07-22,"W5-T",NA,"T"
"174","SAMPLE-210",3043.22,178,"CH190178",20,"run3",NA,10,20,2019-07-22,"W5-M",NA,"M"
"175","SAMPLE-211",854.34,179,"CH190179",10,"run3",NA,10,20,2019-07-22,"W6-T",NA,"T"
"176","SAMPLE-212",4474.4,180,"CH190180",20,"run3",NA,10,20,2019-07-22,"W6-M",NA,"M"
"177","SAMPLE-213",2093.96,181,"CH190181",10,"run3",NA,10,20,2019-07-22,"W9-T",NA,"T"
"178","SAMPLE-214",8478.97,182,"CH190182",20,"run3",NA,10,20,2019-07-22,"W9-M",NA,"M"
"179","SAMPLE-215",742.32,183,"CH190183",10,"run3",NA,10,20,2019-07-29,"W1-T",NA,"T"
"180","SAMPLE-216",4265.4,184,"CH190184",20,"run3",NA,10,20,2019-07-29,"W1-M",NA,"M"
"181","SAMPLE-217",360.45,185,"CH190185",10,"run3",NA,10,20,2019-07-29,"W2-T",NA,"T"
"182","SAMPLE-218",2202.09,186,"CH190186",20,"run3",NA,10,20,2019-07-29,"W2-M",NA,"M"
"183","AMPLE-219",1792.85,187,"CH190187",10,"run3",NA,10,20,2019-07-29,"W3-T",NA,"T"
"184","SAMPLE-220",6972.64,188,"CH190188",20,"run3",NA,10,20,2019-07-29,"W3-M",NA,"M"
"185","SAMPLE-221",574.42,189,"CH190189",10,"run3",NA,10,20,2019-07-29,"W4-T",NA,"T"
"186","AMPLE-222",4653.3,190,"CH190190",20,"run3",NA,10,20,2019-07-29,"W4-M",NA,"M"
"187","SAMPLE-223",656.44,191,"CH190191",10,"run3",NA,10,20,2019-07-29,"W5-T",NA,"T"
"188","SAMPLE-224",2986.49,192,"CH190192",20,"run3",NA,10,20,2019-07-29,"W5-M",NA,"M"
"189","SAMPLE-225",911.74,193,"CH190193",10,"run3",NA,10,20,2019-07-29,"W6-T",NA,"T"
"190","SAMPLE-226",4991.35,194,"CH190194",20,"run3",NA,10,20,2019-07-29,"W6-M",NA,"M"
"191","SAMPLE-227",1934.93,195,"CH190195",10,"run3",NA,10,20,2019-07-29,"W9-T",NA,"T"
"192","SAMPLE-228",8709.19,196,"CH190196",20,"run3",NA,10,20,2019-07-29,"W9-M",NA,"M"
"193","SAMPLE-229",1279.11,197,"CH190197",10,"run3",NA,10,20,2019-08-05,"W1-T",NA,"T"
"194","SAMPLE-230",4059.59,198,"CH190198",20,"run3",NA,10,20,2019-08-05,"W1-M",NA,"M"
"195","SAMPLE-231",510.62,199,"CH190199",10,"run3",NA,10,20,2019-08-05,"W2-T",NA,"T"
"196","SAMPLE-232",2428.67,200,"CH190200",20,"run3",NA,10,20,2019-08-05,"W2-M",NA,"M"
"197","SAMPLE-233",1657.87,201,"CH190201",10,"run3",NA,10,20,2019-08-05,"W3-T",NA,"T"
"198","SAMPLE-234",5690.76,202,"CH190202",20,"run3",NA,10,20,2019-08-05,"W3-M",NA,"M"
"199","SAMPLE-235",504.57,203,"CH190203",10,"run3",NA,10,20,2019-08-05,"W4-T",NA,"T"
"200","SAMPLE-236",4697.2,204,"CH190204",20,"run3",NA,10,20,2019-08-05,"W4-M",NA,"M"
"201","SAMPLE-271",1299.74,205,"CH190205",10,"run4",NA,10,25,2019-08-05,"W5-T",NA,"T"
"202","AMPLE-272",3055.09,206,"CH190206",25,"run4",NA,10,25,2019-08-05,"W5-M",NA,"M"
"203","SAMPLE-273",1168.45,207,"CH190207",10,"run4",NA,10,25,2019-08-05,"W6-T",NA,"T"
"204","SAMPLE-274",4776.67,208,"CH190208",25,"run4",NA,10,25,2019-08-05,"W6-M",NA,"M"
"205","SAMPLE-275",1437.05,209,"CH190209",10,"run4",NA,10,25,2019-08-05,"W9-T",NA,"T"
"206","SAMPLE-276",7141.99,210,"CH190210",25,"run4",NA,10,25,2019-08-05,"W9-M",NA,"M"
"207","SAMPLE-277",1695.02,211,"CH190211",10,"run4",NA,10,25,2019-08-12,"W1-T",NA,"T"
"208","SAMPLE-278",4563.3,212,"CH190212",25,"run4",NA,10,25,2019-08-12,"W1-M",NA,"M"
"209","SAMPLE-279",599.12,213,"CH190213",10,"run4",NA,10,25,2019-08-12,"W2-T",NA,"T"
"210","SAMPLE-280",2089.6,214,"CH190214",25,"run4",NA,10,25,2019-08-12,"W2-M",NA,"M"
"211","SAMPLE-281",1732.97,215,"CH190215",10,"run4",NA,10,25,2019-08-12,"W3-T",NA,"T"
"212","SAMPLE-282",5817.78,216,"CH190216",25,"run4",NA,10,25,2019-08-12,"W3-M",NA,"M"
"213","SAMPLE-283",546.85,217,"CH190217",10,"run4",NA,10,25,2019-08-12,"W4-T",NA,"T"
"214","SAMPLE-284",3543.56,218,"CH190218",25,"run4",NA,10,25,2019-08-12,"W4-M",NA,"M"
"215","SAMPLE-285",1616.75,219,"CH190219",10,"run4",NA,10,25,2019-08-12,"W5-T",NA,"T"
"216","SAMPLE-286",3835.99,220,"CH190220",25,"run4",NA,10,25,2019-08-12,"W5-M",NA,"M"
"217","SAMPLE-287",1904.66,221,"CH190221",10,"run4",NA,10,25,2019-08-12,"W6-T",NA,"T"
"218","SAMPLE-288",6328.48,222,"CH190222",25,"run4",NA,10,25,2019-08-12,"W6-M",NA,"M"
"219","SAMPLE-289",1441.71,223,"CH190223",10,"run4",NA,10,25,2019-08-12,"W9-T",NA,"T"
"220","SAMPLE-290",8283.76,224,"CH190224",25,"run4",NA,10,25,2019-08-12,"W9-M",NA,"M"
"221","SAMPLE-291",1918.81,225,"CH190225",10,"run4",NA,10,25,2019-08-19,"W1-T",NA,"T"
"222","SAMPLE-292",4202.89,226,"CH190226",25,"run4",NA,10,25,2019-08-19,"W1-M",NA,"M"
"223","SAMPLE-293",838,227,"CH190227",10,"run4",NA,10,25,2019-08-19,"W2-T",NA,"T"
"224","SAMPLE-294",1835.27,228,"CH190228",25,"run4",NA,10,25,2019-08-19,"W2-M",NA,"M"
"225","SAMPLE-295",1950.34,229,"CH190229",10,"run4",NA,10,25,2019-08-19,"W3-T",NA,"T"
"226","SAMPLE-296",4543.9,230,"CH190230",25,"run4",NA,10,25,2019-08-19,"W3-M",NA,"M"
"227","SAMPLE-297",596.21,231,"CH190231",10,"run4",NA,10,25,2019-08-19,"W4-T",NA,"T"
"228","SAMPLE-298",3241.12,232,"CH190232",25,"run4",NA,10,25,2019-08-19,"W4-M",NA,"M"
"229","SAMPLE-299",1307.99,233,"CH190233",10,"run4",NA,10,25,2019-08-19,"W5-T",NA,"T"
"230","SAMPLE-300",4496.72,234,"CH190234",25,"run4",NA,10,25,2019-08-19,"W5-M",NA,"M"
"231","SAMPLE-301",1583.92,235,"CH190235",10,"run4",NA,10,25,2019-08-19,"W6-T",NA,"T"
"232","SAMPLE-302",5907.94,236,"CH190236",25,"run4",NA,10,25,2019-08-19,"W6-M",NA,"M"
"233","SAMPLE-303",1649.07,237,"CH190237",10,"run4",NA,10,25,2019-08-19,"W9-T",NA,"T"
"234","SAMPLE-304",7662.6,238,"CH190238",25,"run4",NA,10,25,2019-08-19,"W9-M",NA,"M"
"235","SAMPLE-305",1614.39,239,"CH190239",10,"run4",NA,10,25,2019-08-26,"W1-T",NA,"T"
"236","SAMPLE-306",5040.99,240,"CH190240",25,"run4",NA,10,25,2019-08-26,"W1-M",NA,"M"
"237","SAMPLE-307",1089.63,241,"CH190241",10,"run4",NA,10,25,2019-08-26,"W2-T",NA,"T"
"238","SAMPLE-308",3048.01,242,"CH190242",25,"run4",NA,10,25,2019-08-26,"W2-M",NA,"M"
"239","SAMPLE-309",2564.99,243,"CH190243",10,"run4",NA,10,25,2019-08-26,"W3-T",NA,"T"
